210907_171135
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=1, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=2, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=1, cdp=2, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=1, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=2, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=1, cdp=2, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=1, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=2, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=1, cdp=2, applist=hs eplb, point=3
Experiment finished at 210907_172310
